Category,College,Rank,Volunteers
Large,University of Wisconsin Madison,1,87
Large,University of Washington,2,73
Large,University of Minnesota,3,70
Large,University of Michigan ,4,60
Large,University of Florida,5,58
Large,Colorado State University ,6,54
Medium,American University,1,54
Large,University of North Carolina at Chapel Hill,7,51
Large,The Pennsylvania State University,8,50
Large,The Ohio State University,9,49
Large,Michigan State University,10,48
Medium,Western Washington University,2,48
Large,University of Colorado Boulder,11,47
Large,University of Oregon,11,47
Medium,The George Washington University ,3,45
Large,"University of California, Los Angeles",13,43
Large,Arizona State University,13,43
Large,"University of Maryland , College Park",15,42
Large,University of Virginia,15,42
Large,James Madison University,17,41
Large,"Uniersity of California, Santa Barbara",18,40
Large,University of South Florida,18,40
Large,"University of California, Davis",20,39
Large,North Carolina State University,21,37
Large,Indiana University Bloomington,21,37
Large,University of Illinois at Urbana - Champaign,21,37
Large,University of Massachusetts  Amherst,21,37
Large,University of Texas at Austin,25,36
Medium,The College of William & Mary ,4,36
Medium,Humboldt State University,5,33
Medium,Georgetown University ,6,31
Medium,University of Montana,7,31
Medium,University of Vermont,8,29
Medium,Emory University,8,29
Medium,Tulane University,10,26
Medium,Cornell University,11,24
Medium,College of Charleston ,12,20
Medium,Boston College,13,19
Medium,Loyola University Chicago,14,18
Medium,SUNY Genesco,14,18
Medium,Howard University,14,18
Medium,University of Hawaii at Manoa,14,18
Medium,University of San Diego,14,18
Medium,University of Wisconsin-Stevens Point,14,18
Medium,Fordham University,20,17
Small,Denison University ,1,16
Medium,Montana State University,21,15
Medium,University of Rhode Island,21,15
Medium,Norhthwestern University,21,15
Medium,Tufts University,21,15
Medium,University of New Hampshire,21,15
Small,University of Mary Washington ,2,13
Small,University of Puget Sound,2,13
Small,St. Mary's College of Maryl,4,12
Small,Whitworth University  ,4,12
Small, Hobart and William Smith Colleges ,4,12
Small, Colorado College,7,11
Small,Smith College ,7,11
Small,]Spelman College,7,11
Small,St. Lawrence University ,7,11
Small,The Evergreen State College,7,11
Small, Oberlin College,7,11
Small,Carleton College ,13,10
Small,Simmons College,13,10
Small,Bowdoin College,13,10
Small,Connecticut College,13,10
Small,Kalamazoo College,13,10
Small,Eckerd College,13,10
Small,SUNY College of Environmental Science and Forrestry,13,10
Small,Wellesley College,13,10
Small,Grinnell College,22,10
Small,Hamilton College,22,9
Small,Loyola University New Orleans,22,9
Small,Whitman College,22,9
Small,College of Wooster,22,9
Small,Rice University,22,9
