URL,Text,Date
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/622435/osvaldo-abreu,SSOsvaldo Abreuassigned to Washington Nationals.,SSOsvaldo Abreuassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/645302/victor-robles,CFVictor Roblesassigned to Washington Nationals.,CFVictor Roblesassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/458709/john-lannan,Washington Nationals signed free agent LHPJohn Lannanto a minor league contract.,Washington Nationals signed free agent LHPJohn Lannanto a minor league contract.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/571851/spencer-kieboom,Washington Nationals designated CSpencer Kieboomfor assignment.,Washington Nationals designated CSpencer Kieboomfor assignment.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/430599/joe-blanton,Washington Nationals signed free agent RHPJoe Blanton.,Washington Nationals signed free agent RHPJoe Blanton.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/656883/jakson-reetz,CJakson Reetzassigned to Washington Nationals.,CJakson Reetzassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/664921/ian-sagdal,2BIan Sagdalassigned to Washington Nationals.,2BIan Sagdalassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/607021/jake-lowery,CJake Loweryassigned to Washington Nationals.,CJake Loweryassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/665742/juan-soto,RFJuan Sotoassigned to Washington Nationals.,RFJuan Sotoassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/506703/adrian-sanchez,2BAdrian Sanchezassigned to Washington Nationals.,2BAdrian Sanchezassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/663368/blake-perkins,CFBlake Perkinsassigned to Washington Nationals.,CFBlake Perkinsassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/648739/telmito-agustin,LFTelmito Agustinassigned to Washington Nationals.,LFTelmito Agustinassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/642721/kelvin-gutierrez,3BKelvin Gutierrezassigned to Washington Nationals.,3BKelvin Gutierrezassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/649603/jeyner-baez,CJeyner Baezassigned to Washington Nationals.,CJeyner Baezassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/571851/spencer-kieboom,Washington Nationals sentSpencer Kieboomoutright to Syracuse Chiefs.,Washington Nationals sentSpencer Kieboomoutright to Syracuse Chiefs.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/674293/alian-silva,Washington Nationals signed free agent 2BAlian Silvato a minor league contract.,Washington Nationals signed free agent 2BAlian Silvato a minor league contract.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/621443/rhett-wiseman,LFRhett Wisemanassigned to Washington Nationals.,LFRhett Wisemanassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/572952/jake-johansen,RHPJake Johansenassigned to Washington Nationals.,RHPJake Johansenassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/665096/ryan-brinley,RHPRyan Brinleyassigned to Washington Nationals.,RHPRyan Brinleyassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/571851/spencer-kieboom,CSpencer Kieboomassigned to Washington Nationals.,CSpencer Kieboomassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/606240/bryan-mejia,2BBryan Mejiaassigned to Washington Nationals.,2BBryan Mejiaassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/608327/matthew-crownover,LHPMatthew Crownoverassigned to Washington Nationals.,LHPMatthew Crownoverassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/674371/johan-gomez,Washington Nationals signed free agent RHPJohan Gomezto a minor league contract.,Washington Nationals signed free agent RHPJohan Gomezto a minor league contract.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/674374/alejandro-vallejo,Washington Nationals signed free agent RHPAlejandro Vallejoto a minor league contract.,Washington Nationals signed free agent RHPAlejandro Vallejoto a minor league contract.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/605474/matt-skole,Washington Nationals optionedMatt Skoleto Syracuse Chiefs.,Washington Nationals optionedMatt Skoleto Syracuse Chiefs.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/608723/austin-voth,Washington Nationals optionedAustin Vothto Syracuse Chiefs.,Washington Nationals optionedAustin Vothto Syracuse Chiefs.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/622772/jimmy-cordero,Washington Nationals optionedJimmy Corderoto Syracuse Chiefs.,Washington Nationals optionedJimmy Corderoto Syracuse Chiefs.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/600466/raudy-read,Washington Nationals optionedRaudy Readto Harrisburg Senators.,Washington Nationals optionedRaudy Readto Harrisburg Senators.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/519083/derek-norris,Washington Nationals released CDerek Norris.,Washington Nationals released CDerek Norris.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/570488/phillips-valdez,RHPPhillips Valdezassigned to Washington Nationals.,RHPPhillips Valdezassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/607265/greg-ross,RHPGreg Rossassigned to Washington Nationals.,RHPGreg Rossassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/643208/isaac-ballou,LFIsaac Ballouassigned to Washington Nationals.,LFIsaac Ballouassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/572028/stephen-perez,SSStephen Perezassigned to Washington Nationals.,SSStephen Perezassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/489189/josh-outman,LHPJosh Outmanassigned to Washington Nationals.,LHPJosh Outmanassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/458252/irving-falu,3BIrving Faluassigned to Washington Nationals.,3BIrving Faluassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/548324/caleb-ramsey,RFCaleb Ramseyassigned to Washington Nationals.,RFCaleb Ramseyassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/613534/austin-adams,Washington Nationals optioned RHPAustin Adamsto Syracuse Chiefs.,Washington Nationals optioned RHPAustin Adamsto Syracuse Chiefs.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/622441/rafael-bautista,Washington Nationals optioned CFRafael Bautistato Syracuse Chiefs.,Washington Nationals optioned CFRafael Bautistato Syracuse Chiefs.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/454977/mario-lisson,3BMario Lissonassigned to Washington Nationals.,3BMario Lissonassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/542994/joey-butler,LFJoey Butlerassigned to Washington Nationals.,LFJoey Butlerassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/525734/gabriel-arias,RHPGabriel Ariasassigned to Washington Nationals.,RHPGabriel Ariasassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/636520/kyle-schepel,RHPKyle Schepelassigned to Washington Nationals.,RHPKyle Schepelassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/600472/gilberto-mendez,RHPGilberto Mendezassigned to Washington Nationals.,RHPGilberto Mendezassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/543041/zach-collier,LFZach Collierassigned to Washington Nationals.,LFZach Collierassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/592198/dale-carey,CFDale Careyassigned to Washington Nationals.,CFDale Careyassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/657678/whit-mayberry,RHPWhit Mayberryassigned to Washington Nationals.,RHPWhit Mayberryassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/592630/ronald-pena,RHPRonald Penaassigned to Washington Nationals.,RHPRonald Penaassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/664090/jorge-pantoja,RHPJorge Pantojaassigned to Washington Nationals.,RHPJorge Pantojaassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/621290/dakota-bacus,RHPDakota Bacusassigned to Washington Nationals.,RHPDakota Bacusassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/502089/brian-jeroloman,CBrian Jerolomanassigned to Washington Nationals.,CBrian Jerolomanassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/573074/rc-orlan,LHPR.C. Orlanassigned to Washington Nationals.,LHPR.C. Orlanassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/607099/mick-vanvossen,RHPMick VanVossenassigned to Washington Nationals.,RHPMick VanVossenassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/594840/matt-grace,Washington Nationals optioned LHPMatt Graceto Syracuse Chiefs.,Washington Nationals optioned LHPMatt Graceto Syracuse Chiefs.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/571718/brian-goodwin,Washington Nationals optioned RFBrian Goodwinto Syracuse Chiefs.,Washington Nationals optioned RFBrian Goodwinto Syracuse Chiefs.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/600474/pedro-severino,Washington Nationals optioned CPedro Severinoto Syracuse Chiefs.,Washington Nationals optioned CPedro Severinoto Syracuse Chiefs.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/514669/rafael-martin,Washington Nationals optioned RHPRafael Martinto Syracuse Chiefs.,Washington Nationals optioned RHPRafael Martinto Syracuse Chiefs.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/656899/mariano-rivera,RHPMariano Riveraassigned to Washington Nationals.,RHPMariano Riveraassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/607341/khayyan-norfork,IFKhayyan Norforkassigned to Washington Nationals.,IFKhayyan Norforkassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/607301/nick-rickles,CNick Ricklesassigned to Washington Nationals.,CNick Ricklesassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/592147/mark-blackmar,RHPMark Blackmarassigned to Washington Nationals.,RHPMark Blackmarassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/605464/derek-self,RHPDerek Selfassigned to Washington Nationals.,RHPDerek Selfassigned to Washington Nationals.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/595918/aj-cole,Washington Nationals optionedA.J. Coleto Syracuse Chiefs.,Washington Nationals optionedA.J. Coleto Syracuse Chiefs.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/641627/trevor-gott,Washington Nationals optionedTrevor Gottto Syracuse Chiefs.,Washington Nationals optionedTrevor Gottto Syracuse Chiefs.
http://m.nationals.mlb.com/roster/transactions/2017/03http://m.nationals.mlb.com/player/519208/clint-robinson,Washington Nationals sentClint Robinsonoutright to Syracuse Chiefs.,Washington Nationals sentClint Robinsonoutright to Syracuse Chiefs.
